文件,总代码量,总注释量,总空行量,实际代码量,实际代码比率,总注释比率,总空行比率
_camera_opencv_highgui.py,98,21,30,47,0.47959183673469385,0.21428571428571427,0.30612244897959184
_camera_vidcapture.py,133,48,30,55,0.41353383458646614,0.3609022556390977,0.22556390977443608
_dummybackend.py,30,1,0,29,0.9666666666666667,0.03333333333333333,0.0
_numpysndarray.py,76,35,17,24,0.3157894736842105,0.4605263157894737,0.2236842105263158
_numpysurfarray.py,356,90,79,187,0.5252808988764045,0.25280898876404495,0.22191011235955055
__init__.py,493,46,85,362,0.7342799188640974,0.09330628803245436,0.1724137931034483
snake_game.py,293,6,37,250,0.8532423208191127,0.020477815699658702,0.12627986348122866
conn.py,4,4,0,0,0.0,1.0,0.0
snake_func.py,106,2,13,91,0.8584905660377359,0.018867924528301886,0.12264150943396226
snake_game.py,126,10,21,95,0.753968253968254,0.07936507936507936,0.16666666666666666
learn.py,65,6,7,52,0.8,0.09230769230769231,0.1076923076923077
lock_muti.py,22,0,2,20,0.9090909090909091,0.0,0.09090909090909091
multiprocess_learn.py,20,3,4,13,0.65,0.15,0.2
multiprocess_queue.py,19,0,2,17,0.8947368421052632,0.0,0.10526315789473684
multi_pool.py,26,8,4,14,0.5384615384615384,0.3076923076923077,0.15384615384615385
mu_lock.py,19,0,2,17,0.8947368421052632,0.0,0.10526315789473684
shared_memory.py,16,8,3,5,0.3125,0.5,0.1875
array_split.py,45,25,0,20,0.4444444444444444,0.5555555555555556,0.0
numpy_array.py,34,10,3,21,0.6176470588235294,0.29411764705882354,0.08823529411764706
numpy_copy.py,33,3,5,25,0.7575757575757576,0.09090909090909091,0.15151515151515152
py_array.py,84,29,8,47,0.5595238095238095,0.34523809523809523,0.09523809523809523
py_numpy.py,23,11,3,9,0.391304347826087,0.4782608695652174,0.13043478260869565
py_numpy_index.py,46,22,2,22,0.4782608695652174,0.4782608695652174,0.043478260869565216
py_opera.py,76,39,2,35,0.4605263157894737,0.5131578947368421,0.02631578947368421
py_operation.py,73,35,5,33,0.4520547945205479,0.4794520547945205,0.0684931506849315
pandas_concat.py,199,88,6,105,0.5276381909547738,0.44221105527638194,0.03015075376884422
pandas_plot.py,24,4,1,19,0.7916666666666666,0.16666666666666666,0.041666666666666664
pandas_read.py,13,6,0,7,0.5384615384615384,0.46153846153846156,0.0
pandas_setdata.py,60,21,2,37,0.6166666666666667,0.35,0.03333333333333333
py_pandas.py,138,60,1,77,0.5579710144927537,0.43478260869565216,0.007246376811594203
py_pandas_merge.py,204,85,3,116,0.5686274509803921,0.4166666666666667,0.014705882352941176
py_pandas_nan.py,94,39,3,52,0.5531914893617021,0.4148936170212766,0.031914893617021274
py_pandas_sel.py,103,50,1,52,0.5048543689320388,0.4854368932038835,0.009708737864077669
py_music.py,0,0,0,0,0,0,0
scrapy_selenium.py,18,0,3,15,0.8333333333333334,0.0,0.16666666666666666
__init__.py,0,0,0,0,0,0,0
asyncio_learn.py,25,0,5,20,0.8,0.0,0.2
py_aiohttp.py,31,4,5,22,0.7096774193548387,0.12903225806451613,0.16129032258064516
py_asyncio.py,29,6,5,18,0.6206896551724138,0.20689655172413793,0.1724137931034483
yield_learn.py,76,11,20,45,0.5921052631578947,0.14473684210526316,0.2631578947368421
py_scrapy.py,0,0,0,0,0,0,0
scrapy_ multi_Progress.py,63,4,9,50,0.7936507936507936,0.06349206349206349,0.14285714285714285
scrapy_aiohttp.py,24,0,5,19,0.7916666666666666,0.0,0.20833333333333334
scrapy_asy.py,65,1,13,51,0.7846153846153846,0.015384615384615385,0.2
scrapy_asyncio.py,22,5,4,13,0.5909090909090909,0.22727272727272727,0.18181818181818182
scrapy_asyncio_use.py,32,5,8,19,0.59375,0.15625,0.25
scrapy_req.py,15,0,4,11,0.7333333333333333,0.0,0.26666666666666666
sc_scr_down.py,80,10,12,58,0.725,0.125,0.15
sc_request.py,30,15,7,8,0.26666666666666666,0.5,0.23333333333333334
sr_req_download.py,15,2,1,12,0.8,0.13333333333333333,0.06666666666666667
spider_instagram.py,205,30,29,146,0.7121951219512195,0.14634146341463414,0.14146341463414633
pra1.py,41,10,8,23,0.5609756097560976,0.24390243902439024,0.1951219512195122
nump_learn.py,7,0,2,5,0.7142857142857143,0.0,0.2857142857142857
ski-byes.py,77,1,15,61,0.7922077922077922,0.012987012987012988,0.19480519480519481
ski-byets.py,13,1,0,12,0.9230769230769231,0.07692307692307693,0.0
ski-cross1.py,54,11,15,28,0.5185185185185185,0.2037037037037037,0.2777777777777778
ski-cross_validation.py,32,5,6,21,0.65625,0.15625,0.1875
ski-databases.py,27,19,1,7,0.25925925925925924,0.7037037037037037,0.037037037037037035
ski-learn-1.py,39,16,4,19,0.48717948717948717,0.41025641025641024,0.10256410256410256
ski-learn-model.py,21,5,4,12,0.5714285714285714,0.23809523809523808,0.19047619047619047
ski-learn-saved.py,23,10,3,10,0.43478260869565216,0.43478260869565216,0.13043478260869565
ski_curve.py,35,9,3,23,0.6571428571428571,0.2571428571428571,0.08571428571428572
ski_learn.py,39,12,6,21,0.5384615384615384,0.3076923076923077,0.15384615384615385
ski_pre.py,15,1,3,11,0.7333333333333333,0.06666666666666667,0.2
sklearn-normal.py,36,13,3,20,0.5555555555555556,0.3611111111111111,0.08333333333333333
analysis.py,99,1,22,76,0.7676767676767676,0.010101010101010102,0.2222222222222222
wordcloud_14xg.py,33,4,3,26,0.7878787878787878,0.12121212121212122,0.09090909090909091
__init__.py,2,1,0,1,0.5,0.5,0.0
atzhen.py,19,9,1,9,0.47368421052631576,0.47368421052631576,0.05263157894736842
classification.py,149,17,30,102,0.6845637583892618,0.11409395973154363,0.20134228187919462
cnn_mnist.py,96,13,20,63,0.65625,0.13541666666666666,0.20833333333333334
day1.py,16,4,0,12,0.75,0.25,0.0
day2.py,43,17,6,20,0.46511627906976744,0.3953488372093023,0.13953488372093023
dropout_learn.py,63,6,6,51,0.8095238095238095,0.09523809523809523,0.09523809523809523
layer.py,64,14,6,44,0.6875,0.21875,0.09375
matli.py,57,22,4,31,0.543859649122807,0.38596491228070173,0.07017543859649122
matlibplot_3d.py,19,4,0,15,0.7894736842105263,0.21052631578947367,0.0
matlibplot_bar.py,75,17,9,49,0.6533333333333333,0.22666666666666666,0.12
matlib_new.py,43,14,4,25,0.5813953488372093,0.32558139534883723,0.09302325581395349
matplot_scatter.py,16,1,2,13,0.8125,0.0625,0.125
numpy_learn.py,54,27,4,23,0.42592592592592593,0.5,0.07407407407407407
pencil_picture.py,30,1,7,22,0.7333333333333333,0.03333333333333333,0.23333333333333334
__init__.py,2,1,0,1,0.5,0.5,0.0
open_cv_tes.py,11,5,1,5,0.45454545454545453,0.45454545454545453,0.09090909090909091
placeholder.py,16,8,1,7,0.4375,0.5,0.0625
plot_show.py,28,2,5,21,0.75,0.07142857142857142,0.17857142857142858
plt_annotation.py,43,16,5,22,0.5116279069767442,0.37209302325581395,0.11627906976744186
rnn_learn.py,37,6,5,26,0.7027027027027027,0.16216216216216217,0.13513513513513514
tensorflow_autoencoder.py,87,10,10,67,0.7701149425287356,0.11494252873563218,0.11494252873563218
tensorflow_autoencoder1.py,107,6,14,87,0.8130841121495327,0.056074766355140186,0.1308411214953271
tensorflow_saver.py,30,15,4,11,0.36666666666666664,0.5,0.13333333333333333
tensorflow_scope.py,28,1,5,22,0.7857142857142857,0.03571428571428571,0.17857142857142858
tensor_mnist.py,55,12,8,35,0.6363636363636364,0.21818181818181817,0.14545454545454545
ten_boader.py,70,9,8,53,0.7571428571428571,0.12857142857142856,0.11428571428571428
test.py,23,13,1,9,0.391304347826087,0.5652173913043478,0.043478260869565216
tutorial.py,85,25,10,50,0.5882352941176471,0.29411764705882354,0.11764705882352941
variable.py,20,7,0,13,0.65,0.35,0.0
ten_test.py,48,3,10,35,0.7291666666666666,0.0625,0.20833333333333334
weixin_analysis.py,127,12,11,104,0.8188976377952756,0.09448818897637795,0.08661417322834646
manage.py,15,1,1,13,0.8666666666666667,0.06666666666666667,0.06666666666666667
admin.py,3,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
apps.py,5,0,2,3,0.6,0.0,0.4
__init__.py,0,0,0,0,0,0,0
models.py,3,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
id_Extract.py,162,1,6,155,0.9567901234567902,0.006172839506172839,0.037037037037037035
__init__.py,0,0,0,0,0,0,0
is_mobphone.py,118,2,11,105,0.8898305084745762,0.01694915254237288,0.09322033898305085
is_phone.py,162,3,15,144,0.8888888888888888,0.018518518518518517,0.09259259259259259
phoneNumber_search.py,58,9,15,34,0.5862068965517241,0.15517241379310345,0.25862068965517243
__init__.py,0,0,0,0,0,0,0
tests.py,3,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
views.py,113,1,5,107,0.9469026548672567,0.008849557522123894,0.04424778761061947
__init__.py,0,0,0,0,0,0,0
settings.py,130,18,34,78,0.6,0.13846153846153847,0.26153846153846155
