文件,总代码量,总注释量,总空行量,实际代码量,实际代码比率,总注释比率,总空行比率
ticket_reservation.py,148,4,15,129,0.8716216216216216,0.027027027027027032,0.10135135135135136
camera.py,145,36,47,62,0.42758620689655175,0.2482758620689655,0.32413793103448274
is_phone.py,142,3,11,128,0.9014084507042254,0.02112676056338028,0.07746478873239436
playmus.py,140,12,27,101,0.7214285714285714,0.08571428571428573,0.19285714285714287
py_pandas.py,138,60,1,77,0.5579710144927537,0.43478260869565216,0.007246376811594203
macfont.py,136,4,22,110,0.8088235294117647,0.029411764705882356,0.16176470588235295
rl.py,133,11,8,114,0.8571428571428571,0.08270676691729323,0.06015037593984963
_camera_vidcapture.py,133,48,30,55,0.4135338345864661,0.3609022556390977,0.2255639097744361
run_tests__test.py,131,11,30,90,0.6870229007633588,0.08396946564885496,0.22900763358778625
__main__.py,131,15,30,86,0.6564885496183206,0.11450381679389313,0.22900763358778625
arraydemo.py,131,5,32,94,0.7175572519083969,0.03816793893129771,0.2442748091603053
fastevents.py,130,11,38,81,0.6230769230769231,0.08461538461538462,0.2923076923076923
settings.py,130,18,34,78,0.6,0.13846153846153847,0.26153846153846155
func——test1.py,128,23,25,80,0.625,0.1796875,0.1953125
cloud_music.py,128,14,10,104,0.8125,0.109375,0.078125
weixin_analysis.py,127,12,11,104,0.8188976377952756,0.09448818897637797,0.08661417322834647
settings.py,127,18,34,75,0.5905511811023622,0.14173228346456693,0.2677165354330709
snake_game.py,126,10,21,95,0.7539682539682541,0.07936507936507936,0.16666666666666666
test.py,123,3,15,105,0.8536585365853658,0.024390243902439025,0.12195121951219512
pixelarray.py,123,1,19,103,0.8373983739837398,0.008130081300813009,0.15447154471544716
eventlist.py,123,5,29,89,0.7235772357723578,0.04065040650406504,0.23577235772357724
settings.py,122,18,33,71,0.5819672131147541,0.14754098360655735,0.2704918032786885
settings.py,121,18,33,70,0.5785123966942148,0.1487603305785124,0.2727272727272727
settings.py,121,18,33,70,0.5785123966942148,0.1487603305785124,0.2727272727272727
scaletest.py,121,5,11,105,0.8677685950413223,0.04132231404958678,0.09090909090909093
sc.py,120,19,9,92,0.7666666666666667,0.15833333333333333,0.075
spider_instagram.py,120,0,15,105,0.875,0.0,0.125
ccYM.py,118,5,3,110,0.9322033898305084,0.0423728813559322,0.025423728813559324
test.py,118,2,11,105,0.8898305084745762,0.01694915254237288,0.09322033898305083
is_mobphone.py,118,2,11,105,0.8898305084745762,0.01694915254237288,0.09322033898305083
decorator高潮版.py,116,15,20,81,0.6982758620689655,0.12931034482758622,0.1724137931034483
middlewares.py,115,15,25,75,0.6521739130434783,0.13043478260869565,0.21739130434782608
